"munic";"maes_chefes_91";"maes_chefes_00";"maes_chefes_10";"mortalidade_91";"mortalidade_00";"mortalidade_10";"uf"
"Motuca ";NA;9,46;15,39;22,92;20,7;12,5;"SP"
"Mozarlândia ";12,4;16,12;15,86;33,84;28;13,8;"GO"
"Muaná ";13,53;10,95;27,59;47,44;35,37;22,5;"PA"
"Mucajaí ";8,02;27,12;37,1;41,28;23,05;15,5;"RR"
"Mucambo ";22,15;14,95;23,52;73,01;43,77;29,8;"CE"
"Mucugê ";9,58;16,23;20,58;61,31;36,95;21,2;"BA"
"Muçum ";5,2;13,52;16,12;18,03;15,5;13;"RS"
"Mucuri ";16,15;21,79;21,74;77,17;39,85;19;"BA"
"Mucurici ";20,38;17,1;17,44;44,79;26,15;14,5;"ES"
"Muitos Capões ";1,45;1,57;13,31;27,96;18,6;9,8;"RS"
"Muliterno ";2,55;2,98;15,66;28,04;22,7;14,9;"RS"
"Mulungu ";7,47;12,31;22,74;51,21;38,23;24,8;"CE"
"Mulungu do Morro ";15,73;20,61;43,56;88,19;53,86;26,8;"BA"
"Mulungu ";16,09;14,92;30,51;76,82;44,55;22,6;"PB"
"Mundo Novo ";20,81;24,56;36,88;59;39,61;20,6;"BA"
"Mundo Novo ";11,55;6,63;18,98;37,57;30,4;15;"GO"
"Mundo Novo ";6,54;14,3;13,42;30,66;24,89;20,6;"MS"
"Munhoz de Melo ";7,61;9,46;8,97;32,52;21,39;11;"PR"
"Munhoz ";17,45;10,89;19,36;33,96;26,69;16,5;"MG"
"Muniz Ferreira ";12,83;23,75;27,61;68,08;36,1;25,5;"BA"
"Muniz Freire ";13,06;10,85;14,14;36,49;27,29;15,1;"ES"
"Muquém de São Francisco ";12,83;15,98;41,66;75,29;52,02;25,5;"BA"
"Muqui ";17,96;12,69;8,47;41,58;26,21;16,8;"ES"
"Muriaé ";12,08;12,58;10,72;27,52;22,88;14,7;"MG"
"Muribeca ";30,27;23,96;23,42;84,73;47,08;23,9;"SE"
"Murici ";17,72;28,74;51,42;79,61;55,88;43,5;"AL"
"Murici dos Portelas ";6,95;7,65;14,59;70,96;45,72;23,1;"PI"
"Muricilândia ";7,47;21,33;34,68;80,7;46,11;27,4;"TO"
"Muritiba ";22,89;20,6;22,66;78,6;40,57;19,8;"BA"
"Murutinga do Sul ";2,57;3,32;11;23,81;18,8;13,5;"SP"
"Mutuípe ";18,36;17,63;18,92;88,47;50,83;27,2;"BA"
"Mutum ";10,58;7,48;13,26;41,9;28,66;16,4;"MG"
"Mutunópolis ";4,61;11,35;11,96;34,44;33,7;15,5;"GO"
"Muzambinho ";8,83;6;8,42;23,03;19,92;13,1;"MG"
"Nacip Raydan ";16,65;16,62;43,22;41,2;31,41;15,6;"MG"
"Nantes ";18,78;8,58;13,69;34,91;24,8;19;"SP"
"Nanuque ";21,1;17,52;12,33;33,77;27,4;13,8;"MG"
"Não-Me-Toque ";10,24;7,15;10,17;22,25;15,4;12,5;"RS"
"Naque ";19,85;11,8;28,29;47,76;33,72;16,4;"MG"
"Narandiba ";11,23;18,89;5,4;28,46;19,5;14,2;"SP"
"Natalândia ";19,26;21,03;16,56;35,54;27,39;14,2;"MG"
"Natal ";13,03;14,06;13,05;43,49;32;14,35;"RN"
"Natércia ";2,16;2,09;4,14;25,26;24,33;18,1;"MG"
"Natividade da Serra ";8,04;3,57;16,47;33,8;20,1;16,6;"SP"
"Natividade ";5,41;8,49;12,99;41,12;21,96;16,4;"RJ"
"Natividade ";8,81;24,19;25,89;60,76;34,34;12,4;"TO"
"Natuba ";15,8;18,52;28,19;110,86;60,83;35,2;"PB"
"Navegantes ";8,81;20,3;29,44;32,58;23,5;10,5;"SC"
"Naviraí ";15,55;15,52;18,96;30,66;24,89;21,2;"MS"
"Nazaré ";19,44;22,79;22,05;75,45;38,02;22,6;"BA"
"Nazaré da Mata ";12,92;10,73;16,03;57,21;46,14;20,5;"PE"
"Nazaré do Piauí ";17,78;15,47;16,2;64,59;52,99;36,5;"PI"
"Nazareno ";9,42;8,98;18,43;39,8;31,15;15,6;"MG"
"Nazaré Paulista ";8,18;10,66;19,62;28,71;24,5;16,2;"SP"
"Nazaré ";3,04;14,59;31,87;63,18;45,44;19,7;"TO"
"Nazarezinho ";12,08;8,39;26,64;83,08;51,81;27,9;"PB"
"Nazária ";10,3;16,06;39,13;57,04;34,54;22,6;"PI"
"Nazário ";14,11;12,53;14,15;23,54;22,3;15,4;"GO"
"Neópolis ";19,92;17,33;28,47;80,76;55,12;37,2;"SE"
"Nepomuceno ";9,61;15,52;13,09;34,44;24,89;16,4;"MG"
"Nerópolis ";9,65;18,27;16,35;27,3;23,4;14,3;"GO"
"Neves Paulista ";6,16;7,15;7,95;27,52;18;15,7;"SP"
"Nhamundá ";18,78;12,56;21,99;59,44;43,95;20,7;"AM"
"Nhandeara ";4,96;5,37;1,99;25,72;17,2;13,5;"SP"
"Nicolau Vergueiro ";10,98;NA;5,44;20,21;14,2;13,1;"RS"
"Nilo Peçanha ";15,88;21,44;30,78;91,79;47,97;25,3;"BA"
"Nilópolis ";10,84;12,12;9,63;31,1;21,7;15,75;"RJ"
"Nina Rodrigues ";27,01;21,89;39,05;94,09;46,22;24,9;"MA"
"Ninheira ";17,51;14,71;19,7;42;30,02;20,4;"MG"
"Nioaque ";9,04;8,4;20,81;34,1;26,43;19;"MS"
"Nipoã ";11,56;9,06;4,57;27,85;19,5;16,6;"SP"
"Niquelândia ";14,19;12,96;12,83;32,18;27;15,5;"GO"
"Nísia Floresta ";9,69;13,29;22,99;74,14;48,41;22,7;"RN"
"Niterói ";7,1;7,72;7,89;25,81;14,04;12,91;"RJ"
"Nobres ";24,2;17,99;17,74;34,09;30,1;15,9;"MT"
"Nonoai ";11,42;13,07;24,55;27,02;19,8;12,8;"RS"
"Nordestina ";13,02;18,25;49,06;102,13;54,5;28,7;"BA"
"Normandia ";11,57;20,21;35,71;72,5;37,65;17,2;"RR"
"Nortelândia ";21,4;15,1;16,63;40,56;33,98;19,4;"MT"
"Nossa Senhora Aparecida ";10,75;14,71;23,19;69,2;47,08;23,3;"SE"
"Nossa Senhora da Glória ";18,2;19,64;23,89;66,93;52,67;27,5;"SE"
"Nossa Senhora das Dores ";27,37;30,68;37,42;58,19;43,91;27,8;"SE"
"Nossa Senhora das Graças ";1,53;7,25;7,2;35,54;24,9;12,8;"PR"
"Nossa Senhora de Lourdes ";11,51;16,8;21,59;86,81;55,91;33,6;"SE"
"Nossa Senhora de Nazaré ";20,54;5,71;7,12;72,32;46,16;22,6;"PI"
"Nossa Senhora do Livramento ";7,49;18,03;18,89;27,96;27,68;16,6;"MT"
"Nossa Senhora do Socorro ";26,7;25,46;29,75;44,97;36,75;17,7;"SE"
"Nossa Senhora dos Remédios ";19,67;13,72;25,66;92,85;52,36;31,3;"PI"
"Nova Aliança do Ivaí ";18,8;NA;6,11;32,9;28,4;17,1;"PR"
"Nova Aliança ";2,78;5,6;11,1;28,94;17,6;15,4;"SP"
"Nova Alvorada do Sul ";9,6;10,34;19,59;40,94;30,23;20,5;"MS"
"Nova Alvorada ";2,2;8,08;12,1;24,64;22,9;12,4;"RS"
"Nova América da Colina ";10,72;20,22;9,59;51,21;33,4;14,8;"PR"
"Nova América ";22,02;14,56;7,68;37,08;28,8;16,5;"GO"
"Nova Andradina ";9,83;7,72;12,4;32,2;17,69;16,1;"MS"
"Nova Araçá ";8,42;2,53;6,49;20,15;14;12,8;"RS"
"Nova Aurora ";13,77;5,71;20,37;23,32;22,5;12;"GO"
"Nova Aurora ";7,4;10,14;15;28,79;28,01;11,8;"PR"
"Nova Bandeirantes ";NA;5,32;10,31;33,15;23,46;14,6;"MT"
"Nova Bassano ";0,68;0,5;7,75;19,36;16;12,3;"RS"
"Nova Belém ";5,59;7,85;6,52;58,28;44,61;22,2;"MG"
"Nova Boa Vista ";1,81;10,47;5,65;23,12;16,7;12,6;"RS"
"Nova Brasilândia D'Oeste ";8,32;8,91;10,99;47,83;35,16;23,8;"RO"
"Nova Brasilândia ";14,25;9,25;26,08;25,28;22,79;14,3;"MT"
"Nova Bréscia ";5,87;1,29;6,75;14,6;14;11,7;"RS"
"Nova Campina ";23,32;13,73;43,87;43,1;29,4;18,1;"SP"
"Nova Canaã ";10,05;15,01;25,49;76,51;42,81;20,8;"BA"
"Nova Canaã do Norte ";12,18;7,22;14,48;39,31;30,19;17,1;"MT"
"Nova Canaã Paulista ";1,83;2,73;8,45;32,38;19,5;17,4;"SP"
"Nova Candelária ";2,46;4,8;4,13;20,08;13,2;11,7;"RS"
"Nova Cantu ";9,44;9,27;8,96;47,35;34,69;16,3;"PR"
"Nova Castilho ";5,26;NA;NA;21,54;20,1;15,7;"SP"
"Nova Colinas ";5,97;9,45;45,47;78,45;53,3;29,5;"MA"
"Nova Crixás ";13,34;11,85;12,06;32,4;27,4;16,7;"GO"
"Nova Cruz ";12,8;15,98;19,96;79,48;49,22;20,3;"RN"
"Nova Era ";22,67;14,28;12,83;31,98;21,23;16,2;"MG"
"Nova Erechim ";5,32;6,29;24,18;23,67;18;12,2;"SC"
"Nova Esperança do Piriá ";4,3;11,15;75,48;68,69;40,93;25,6;"PA"
"Nova Esperança do Sudoeste ";NA;4,91;9,16;37,72;31,59;15,1;"PR"
"Nova Esperança do Sul ";2,57;10,8;14,97;19,16;16,6;11,6;"RS"
"Nova Esperança ";9,55;6,47;16,11;32,61;24,5;13,1;"PR"
"Nova Europa ";22,09;8,19;25;23,09;16,5;11,7;"SP"
"Nova Fátima ";15,71;10,17;25,74;82,82;58,09;29,7;"BA"
"Nova Fátima ";14,58;10,09;12,67;35,28;25;13,9;"PR"
"Nova Floresta ";16,76;14,73;35,33;92,37;49,94;26;"PB"
"Nova Friburgo ";10,67;11,36;15,6;28,82;14,04;13,21;"RJ"
"Nova Glória ";8,81;7,61;8,15;30,18;24,66;14,7;"GO"
"Nova Granada ";8,88;6,1;6,73;25,92;18,3;16,2;"SP"
"Nova Guarita ";1,48;7,51;14,88;37,83;33,08;17,4;"MT"
"Nova Guataporanga ";7,7;15,38;14,81;21,6;14,5;12,8;"SP"
"Nova Hartz ";8,69;13,38;19,85;25,11;17,9;12,6;"RS"
"Nova Ibiá ";11,97;19,35;11,16;77,51;50,13;34,4;"BA"
"Nova Iguaçu de Goiás ";22,2;26,19;10,75;36,98;33,1;15;"GO"
"Nova Iguaçu ";14,6;17,31;17,63;32,91;22,7;15,35;"RJ"
"Nova Independência ";10,34;9,01;5,98;28,11;16,9;15,3;"SP"
"Nova Iorque ";17,49;14,72;26,74;90,35;53,3;33,5;"MA"
"Nova Ipixuna ";10,58;19,28;36,45;59,36;33,95;24;"PA"
"Novais ";12,52;10,71;38,84;30,11;17,8;15,8;"SP"
"Nova Itaberaba ";6,26;2,97;27,94;32,72;22,8;10,3;"SC"
"Nova Itarana ";22,1;21,33;43,12;102,04;54,96;31,4;"BA"
"Nova Lacerda ";14,5;18,07;23,59;37,35;31,36;16,1;"MT"
"Nova Laranjeiras ";8,18;11,15;30,65;42,29;27,3;12,8;"PR"
"Nova Lima ";14,99;12,9;10,48;31,13;21,67;11,67;"MG"
"Nova Londrina ";10,83;12,51;11,08;30,51;20,39;11;"PR"
"Nova Luzitânia ";6,34;4,55;5,72;33,38;23,2;17,2;"SP"
"Nova Mamoré ";33,65;14,56;22,34;62,46;36,98;22,7;"RO"
"Nova Marilândia ";3,59;30,9;20,87;34,95;30,1;16,3;"MT"
"Nova Maringá ";13,82;3,64;32,99;24,63;23,46;17,2;"MT"
"Nova Módica ";10,32;7,25;18,49;44,56;39,52;20,9;"MG"
"Nova Monte Verde ";1,51;5,47;12,43;39,31;30,37;16,4;"MT"
"Nova Mutum ";6,33;11,5;19,76;24,63;22,63;15,1;"MT"
"Nova Nazaré ";NA;6,68;10,25;32,87;32,3;19,4;"MT"
"Nova Odessa ";9,35;8,76;6,61;23,78;15,3;11,3;"SP"
"Nova Olímpia ";11,54;10,3;25,5;36,56;27,73;18,2;"MT"
"Nova Olímpia ";12,16;15,25;10,23;28,46;26,39;15,3;"PR"
"Nova Olinda ";12,26;18,75;21,41;69,94;53,26;21,6;"CE"
"Nova Olinda do Maranhão ";11,46;13,48;29,6;74,72;50,93;28,4;"MA"
"Nova Olinda do Norte ";35,94;27,35;23,63;59,59;43,95;20,5;"AM"
"Nova Olinda ";18,9;12,61;28,91;85,52;48,71;28,6;"PB"
"Nova Olinda ";21,79;17,52;20,33;76,66;46,96;23,9;"TO"
"Nova Pádua ";NA;1,37;1,85;15,29;13,1;11,3;"RS"
"Nova Palma ";3,74;3,22;7,76;17,87;14;12,2;"RS"
"Nova Palmeira ";10,09;9,08;12,4;80,83;48,28;25,2;"PB"
"Nova Petrópolis ";1,56;10,76;8,53;14,6;12,3;9,3;"RS"
"Nova Ponte ";10,06;13,03;14,66;30,23;19,45;15,2;"MG"
"Nova Porteirinha ";20,3;14,92;19,4;37,65;35,47;17,5;"MG"
"Nova Prata do Iguaçu ";12,13;7,12;23,84;32,71;25,3;16,8;"PR"
"Nova Prata ";8,45;7,56;8,61;17,5;15,7;13,1;"RS"
"Nova Ramada ";10,06;4,95;9,38;23,2;19;12,4;"RS"
"Nova Redenção ";19,71;21,25;32,98;80,2;56,56;32,7;"BA"
"Nova Resende ";6,57;9,37;9,08;40,79;31,15;14,8;"MG"
"Nova Roma do Sul ";4,96;0,96;16,93;19,8;14,4;12,1;"RS"
"Nova Roma ";22,69;6,7;15,28;33,58;26,5;15;"GO"
"Nova Rosalândia ";26,57;33,51;5,99;52,24;39,85;19,8;"TO"
"Nova Russas ";12,82;23,37;20,09;67,39;49,65;25,7;"CE"
"Nova Santa Bárbara ";15,16;26,78;10,31;39,85;28,81;15,7;"PR"
"Nova Santa Helena ";2,34;10,73;15,61;26;24,81;17,7;"MT"
"Nova Santa Rita ";5,24;7,6;10,2;95,82;50,16;24,4;"PI"
"Nova Santa Rita ";7,65;12,68;29,19;25,99;21,2;11,2;"RS"
"Nova Santa Rosa ";7,93;3,16;14,28;32,89;22,9;14,8;"PR"
"Nova Serrana ";16,77;14,43;25,44;22,12;15,91;12,7;"MG"
"Nova Soure ";20,17;18;43,6;73,55;50,43;34,9;"BA"
"Nova Tebas ";16,55;8,22;16,32;45,64;30,21;16,7;"PR"
"Nova Timboteua ";19,78;11,56;28,42;68,1;40,9;20,1;"PA"
"Nova Trento ";4,53;2,59;13,86;21,62;19,2;9,2;"SC"
"Nova Ubiratã ";3,25;1,8;21,8;22,97;19,82;17;"MT"
"Nova União ";16,94;15,59;20,31;42,38;30,15;16,8;"MG"
"Nova União ";11,82;8,72;12,29;51,56;31,34;25,4;"RO"
"Nova Venécia ";9,09;17,07;17,02;30,12;15,59;13,4;"ES"
"Nova Veneza ";4,44;18,14;7,52;33,58;29,7;12,8;"GO"
"Nova Veneza ";3,07;6,75;25;22,96;21,2;10,8;"SC"
"Nova Viçosa ";19,59;20,8;36,2;79,57;46,7;22,3;"BA"
"Nova Xavantina ";12,97;17,27;14,38;29,16;27,9;18,6;"MT"
"Novo Acordo ";39,48;16,54;34,79;54,64;42,69;19;"TO"
"Novo Airão ";7,49;28,12;23,57;55,64;47,45;21,2;"AM"
"Novo Alegre ";13,94;35,5;11,92;68,28;37,75;16,8;"TO"
"Novo Aripuanã ";29,67;21,12;34,57;53,94;42,43;24;"AM"
"Novo Barreiro ";NA;3,93;11;21,91;21,2;15;"RS"
"Novo Brasil ";21,56;9,05;5,52;31,8;27,2;13,6;"GO"
"Novo Cabrais ";6,06;2,18;10,89;27,87;19,6;11,3;"RS"
"Novo Cruzeiro ";29,29;25,44;52,85;49,72;38,95;18,9;"MG"
"Novo Gama ";14,51;31,15;32,56;29,66;29,1;10,8;"GO"
"Novo Hamburgo ";12,2;14,8;20,4;21,49;14,8;12,26;"RS"
"Novo Horizonte ";11,15;9,44;5,01;51,73;33,11;26,1;"BA"
"Novo Horizonte do Norte ";15,26;5,7;10,77;36,56;28,89;16,7;"MT"
"Novo Horizonte do Oeste ";4,4;6,45;10,2;56,02;31,2;18,2;"RO"
"Novo Horizonte do Sul ";8,88;7,78;18,91;44,78;26,51;21,7;"MS"
"Novo Horizonte ";4,74;4,76;10,34;33,88;26,9;12,5;"SC"
"Novo Horizonte ";10,95;8,3;12,84;17,96;15,2;12;"SP"
"Novo Itacolomi ";3,02;5,46;7,92;29,1;28,81;12,9;"PR"
"Novo Jardim ";2,05;74,65;40,76;60,1;46,11;30,4;"TO"
"Novo Lino ";26,29;22,9;34,47;96,21;72,27;42,4;"AL"
"Novo Machado ";10,56;4,24;6,13;20,67;19,6;16;"RS"
"Novo Mundo ";2,46;8,43;26,08;34,95;33,08;17,1;"MT"
"Novo Oriente ";11,3;18,51;29,39;65,92;49,65;24,2;"CE"
"Novo Oriente de Minas ";11,8;12,41;33,02;62,1;46,2;23,8;"MG"
"Novo Oriente do Piauí ";24,93;13,21;20,26;69,43;46,54;23,5;"PI"
"Novo Planalto ";7,3;12,69;14,96;33,96;29,6;13,4;"GO"
"Novo Progresso ";2,45;12,29;49,79;32,57;18,95;14,9;"PA"
"Novo Repartimento ";11,82;14,48;30,77;69,86;44,31;28,5;"PA"
"Novorizonte ";13,35;15,42;35,88;49,78;38,39;18,2;"MG"
"Novo Santo Antônio ";47,07;85,72;52,93;23,65;22,39;15,8;"MT"
"Novo Santo Antônio ";3,25;0,74;23,79;93,68;66,61;37,6;"PI"
"Novo São Joaquim ";9,66;9,2;23,4;34,09;27,9;16,7;"MT"
"Novo Tiradentes ";10,47;7,59;7,38;25,4;21,9;15,2;"RS"
"Novo Triunfo ";34,68;7,49;27,04;96,29;47,81;24;"BA"
"Novo Xingu ";2,78;3,48;4,38;19,08;16,8;11,4;"RS"
"Nuporanga ";6,09;7,29;14,11;27,6;19,6;11,9;"SP"
"Óbidos ";10,69;21,32;29,03;55,22;35,37;25,8;"PA"
"Ocara ";11,49;15,45;20,29;75,04;56,1;22,9;"CE"
"Ocauçu ";14;14,68;28,35;26,27;20,9;15;"SP"
"Oeiras do Pará ";8,92;17,97;48,24;50,75;36,52;26,2;"PA"
"Oeiras ";23,35;16,95;22,66;62,26;51,12;27,3;"PI"
"Oiapoque ";10,23;19,44;40,36;43,26;30,83;20;"AP"
"Olaria ";4,69;3,8;12,17;38,81;27,05;16,3;"MG"
"Óleo ";8,74;9,92;19,05;26,98;20,5;12,6;"SP"
"Olho D'Água das Cunhãs ";15,26;24,22;35,89;94,19;50,93;28,6;"MA"
"Olho D'Água das Flores ";18,11;25,18;34,63;86,21;51,44;29;"AL"
"Olho-D'Água do Borges ";10,77;9,82;20,17;67,85;43,52;32,6;"RN"
"Olho D'Água do Casado ";10,25;14,03;55,47;83,93;47,4;23,2;"AL"
"Olho D'Água do Piauí ";13,04;17,12;24,34;62,56;49,14;28,7;"PI"
"Olho D'Água Grande ";16,55;6,86;28,03;85,01;46,61;46,4;"AL"
"Olho D'Água ";12,56;14,81;12,42;76,55;47,55;22,9;"PB"
"Olhos-D'Água ";17,54;29,4;29,71;37;27,36;17,4;"MG"
"Olímpia ";7,68;8,34;10,76;21,09;17,7;10,9;"SP"
"Olímpio Noronha ";9,27;6,1;15,93;33,21;22,88;17,6;"MG"
"Olinda Nova do Maranhão ";21,46;17,5;37,99;70,48;56,56;34,6;"MA"
"Olinda ";15,83;16,55;12,98;43,09;29,08;14,79;"PE"
"Olindina ";23,34;21,15;35,31;79,49;40,57;17,6;"BA"
"Olivedos ";14,62;9,19;26,16;96,08;48,88;24,5;"PB"
"Oliveira de Fátima ";10,33;NA;7,28;70,12;43,29;18,8;"TO"
"Oliveira dos Brejinhos ";14,18;18,01;23,42;59,82;37,62;28;"BA"
"Oliveira Fortes ";6,61;NA;14,23;34,3;32,78;19,3;"MG"
"Oliveira ";10,76;13,61;17,75;27;22,95;14,6;"MG"
"Olivença ";11,94;13,83;34,4;100,56;68,54;45,4;"AL"
"Onça de Pitangui ";13,15;8,05;15,53;33,96;26,63;18;"MG"
"Onda Verde ";12,93;9,18;5,4;25,9;19,6;12,1;"SP"
"Oratórios ";11,53;16,81;12,08;40,27;30,2;16,2;"MG"
"Oriente ";6,79;11,64;7,69;22,52;20,3;14,4;"SP"
"Orindiúva ";12,98;3,49;11,27;33,9;20,8;15,6;"SP"
"Oriximiná ";17,5;18,28;28,7;59,09;30,89;22,1;"PA"
"Orizânia ";23,59;14,96;13,95;48,87;42,48;21;"MG"
"Orizona ";7,9;7,08;11,5;26,22;25,4;13,7;"GO"
"Orlândia ";7,2;6,69;9,52;20,43;15,6;8,93;"SP"
"Orleans ";7,54;6,01;12,06;23,9;21,8;10,5;"SC"
"Orobó ";13,49;15,06;34,46;64,96;60,78;20,8;"PE"
"Orocó ";22,98;20,61;34,93;55,91;51,51;24,1;"PE"
"Orós ";17,25;14,85;18,62;70,97;52,46;19,4;"CE"
"Ortigueira ";10,01;11,67;29,01;43,62;27,29;14,6;"PR"
"Osasco ";11,79;16,52;15,8;23,48;17,2;13,36;"SP"
"Oscar Bressane ";2,63;11,16;6,7;26,27;21,8;15,7;"SP"
"Osório ";8,57;17,91;13,69;14,6;14,1;12;"RS"
"Osvaldo Cruz ";3,4;7,92;8,12;24,16;19,1;14,4;"SP"
"Otacílio Costa ";4,09;9,27;17,19;32,55;28;13,4;"SC"
"Ourém ";13,55;17,15;31,4;58,58;36,16;31,2;"PA"
"Ouriçangas ";28,06;34,59;23,85;81,73;47,46;22,4;"BA"
"Ouricuri ";16,48;21,81;35,72;81,71;62,1;22,9;"PE"
"Ourilândia do Norte ";16,05;19,33;23,69;55,63;32,28;19,4;"PA"
"Ourinhos ";10,76;10,08;8,55;21,28;16,4;11,5;"SP"
"Ourizona ";3,74;6,59;11,68;29,62;28,5;15,2;"PR"
"Ouro Branco ";18,31;21,98;32,83;86,21;53,21;40;"AL"
"Ouro Branco ";9,45;13,67;10,14;30,8;22,86;12;"MG"
"Ouro Branco ";9,01;7,05;10,06;58,79;29,85;20,3;"RN"
"Ouroeste ";13,17;7,57;9,74;30,73;19,4;11,9;"SP"
"Ouro Fino ";5,51;6,64;12,03;24,42;16,44;12,9;"MG"
"Ourolândia ";20,8;22,39;24,41;112,39;65,59;37,4;"BA"
"Ouro Preto do Oeste ";10,42;16,58;12,37;42,9;27,5;16,3;"RO"
"Ouro Preto ";15,21;13,21;10,49;34,5;27,88;15,3;"MG"
"Ouro ";6,2;3,93;8,7;22,99;19,1;9,7;"SC"
"Ouro Velho ";10,22;14,47;18,98;86,67;47,59;24,8;"PB"
"Ouro Verde de Goiás ";9,71;3,33;8,54;34,86;30,8;14,2;"GO"
"Ouro Verde de Minas ";28,79;20,89;19,96;51,02;39,57;19,7;"MG"
"Ouro Verde do Oeste ";9,11;13,44;11,5;35,28;25,4;14;"PR"
"Ouro Verde ";10,41;4,97;9,25;37,45;24,6;17,6;"SC"
"Ouro Verde ";12,71;13,54;21,75;33,29;24,1;16,6;"SP"
"Ouvidor ";7,77;7,87;4,93;26,37;21,9;13,4;"GO"
"Pacaembu ";5,43;6,83;12,65;25,88;19,8;13,8;"SP"
"Pacajá ";14,27;16,81;34,57;62,62;35,11;27,6;"PA"
"Pacajus ";13,57;19,16;20,48;65,69;42,21;20,1;"CE"
"Pacaraima ";8,6;17,79;20,58;45,43;27,6;19;"RR"
"Pacatuba ";17,99;24,34;26,64;53,16;34,53;21,6;"CE"
"Pacatuba ";13,72;21,75;28,19;72,36;46,59;31,2;"SE"
"Paço do Lumiar ";9,95;14,85;14,35;51,54;33,41;21,3;"MA"
"Pacoti ";7,74;20,45;23,17;53,57;36,88;22,5;"CE"
"Pacujá ";25,89;20,7;23,36;66,78;43,53;27,4;"CE"
"Padre Bernardo ";19,74;20,58;25,35;31,94;30;16;"GO"
"Padre Carvalho ";27,83;22,24;55,61;36,92;32,04;19,1;"MG"
"Padre Marcos ";11,07;11,47;19,02;113,08;63,95;38,2;"PI"
"Padre Paraíso ";17,68;19,53;38,88;42,76;36,29;18,9;"MG"
"Paes Landim ";31,41;12,13;39,75;62,26;52,82;33,4;"PI"
"Paial ";13,62;NA;11,76;32,72;24,2;12,4;"SC"
"Paiçandu ";8,49;13,26;16,04;40,41;27,24;12,7;"PR"
"Paim Filho ";5,59;6,07;4,45;23,22;20,2;10;"RS"
"Paineiras ";12,72;10,86;10,21;29,37;18,05;16,2;"MG"
"Painel ";11,77;10,91;14,07;32,12;31;15,9;"SC"
"Pains ";11,98;7,87;5,27;27,89;16,95;11,8;"MG"
"Pai Pedro ";20,99;16,81;17,51;57,6;46,2;23;"MG"
"Paiva ";3,19;10,6;6,22;34,15;30,15;14,2;"MG"
"Pajeú do Piauí ";21,79;1,9;17,99;65,31;38,17;31,4;"PI"
"Palestina ";25,74;19,96;57,87;93,38;57,19;32,5;"AL"
"Palestina de Goiás ";2,58;6,25;9,44;33,53;29,1;12,9;"GO"
"Palestina do Pará ";16,35;17,6;22,64;58,18;34,23;25;"PA"
"Palestina ";6,64;6,27;9,84;23,24;21,6;13,4;"SP"
"Palhano ";14,01;15,01;16,11;54,9;45,92;31,7;"CE"
"Palhoça ";10,04;14,33;18,82;20,86;13,67;12,35;"SC"
"Palmácia ";17,38;19,06;17,43;51,21;38,83;27,9;"CE"
"Palma ";10,24;6,77;11,32;31,98;25,91;14,6;"MG"
"Palmares do Sul ";12,81;10,61;9;18,6;17,8;11,3;"RS"
"Palmares Paulista ";5,62;11,05;12,06;26,42;24,1;14,4;"SP"
"Palmares ";22,84;22,41;25,02;73,75;68,26;28,1;"PE"
"Palmas de Monte Alto ";11,6;13,67;15,73;54,96;37,21;22,7;"BA"
"Palma Sola ";8,42;15,41;24,73;32,07;26;16,6;"SC"
"Palmas ";13,74;17,72;36,75;43,65;29,01;13,3;"PR"
"Palmas ";9,11;13,2;10,38;45,08;25,79;15,28;"TO"
"Palmeira das Missões ";12,63;12,35;20,85;19,2;18,2;13;"RS"
"Palmeira D'Oeste ";6,08;2,8;8,72;32,36;19,3;15,1;"SP"
"Palmeira do Piauí ";17,3;8,03;16,44;59,77;46,29;37,1;"PI"
"Palmeira dos Índios ";18,03;18,84;26,98;63,35;33,39;21,8;"AL"
"Palmeirais ";35,41;19,29;43,19;62,56;44,06;23,2;"PI"
"Palmeirândia ";29,34;30,9;47,96;85,39;55,45;36,5;"MA"
"Palmeirante ";20,69;22,06;29,81;68,28;45,44;25,5;"TO"
"Palmeira ";11,68;14,12;18,05;39,27;29,01;13,3;"PR"
"Palmeiras ";10,06;17,05;41,21;67,01;36,95;21,9;"BA"
"Palmeira ";5,96;15,14;24,66;32,58;31,2;14,1;"SC"
"Palmeiras de Goiás ";8,81;9,62;10,65;23,54;21,5;14,8;"GO"
"Palmeiras do Tocantins ";9,7;16,41;30,86;75,32;43,19;17;"TO"
"Palmeirina ";9,49;10,44;21,16;86,41;69,55;41,2;"PE"
"Palmeirópolis ";12,67;14,42;17,68;49,22;31,25;16,1;"TO"
"Palmelo ";11,02;16,01;7,59;22,16;21,9;15,7;"GO"
"Palminópolis ";7,21;6,24;4,52;32,4;27,3;13,2;"GO"
"Palmital ";16,57;15,13;20;53,98;32,76;17,4;"PR"
"Palmital ";7,24;8,71;6,09;33,86;21;16,6;"SP"
"Palmitinho ";3,77;6,72;12,69;25,4;20,1;12,6;"RS"
"Palmitos ";5,5;4,88;11,19;23,91;22,6;13,4;"SC"
"Palmópolis ";21,2;8,01;28,33;51,02;44,27;25,8;"MG"
"Palotina ";11,03;6,83;9,01;29,1;18,79;10,4;"PR"
"Panamá ";9,26;4,31;5;33,53;30,8;14,4;"GO"
"Panambi ";6,82;7,02;11,3;17,64;14,1;13,47;"RS"
"Pancas ";9,81;11,28;13,01;51,56;28,72;15,6;"ES"
