"munic";"maes_chefes_91";"maes_chefes_00";"maes_chefes_10";"mortalidade_91";"mortalidade_00";"mortalidade_10";"uf"
"Alpercata ";18,54;16,59;22,07;29,69;29,31;16,2;"MG"
"Alpestre ";10,19;9,27;10,18;29,85;20,5;16,1;"RS"
"Alpinópolis ";12,19;6,59;10,42;26,65;18,79;12,8;"MG"
"Alta Floresta D'Oeste ";6,14;10,93;14,51;45,58;28,36;23,8;"RO"
"Alta Floresta ";12,74;11,85;14,76;28,76;24,81;17;"MT"
"Altair ";3,85;5,58;9,08;31,11;28;18;"SP"
"Altamira do Maranhão ";16,32;12,93;24,34;81,1;60,54;35,6;"MA"
"Altamira do Paraná ";5,87;7,87;13,34;48,55;32,77;18,6;"PR"
"Altamira ";21,96;18,09;29,79;52,54;27,56;17,27;"PA"
"Altaneira ";16,9;14,71;22,34;92,23;56,43;22,5;"CE"
"Alterosa ";9,94;6,5;14,55;30,7;27,97;14,1;"MG"
"Altinho ";17,58;17,83;29,16;84,33;55,42;19,9;"PE"
"Altinópolis ";6,39;5,58;13,7;22,82;16,9;13,9;"SP"
"Alto Alegre do Maranhão ";23,47;21,73;34,46;111,6;56,56;30,6;"MA"
"Alto Alegre do Pindaré ";15,99;16,91;33,58;94,76;48,79;25;"MA"
"Alto Alegre dos Parecis ";5,16;8;14,99;56,02;31,34;21,4;"RO"
"Alto Alegre ";10,42;8,04;26,87;59,55;32,17;15,6;"RR"
"Alto Alegre ";5,07;7,37;2,95;21,26;13,6;10,8;"RS"
"Alto Alegre ";0,93;8,74;6,19;27,72;19,2;16,3;"SP"
"Alto Araguaia ";16,9;21,26;19,98;29,96;24,63;18,4;"MT"
"Alto Bela Vista ";9,64;9,75;10,41;26,37;22,6;9,8;"SC"
"Alto Boa Vista ";3,02;10,17;15,91;37,2;35,18;18,3;"MT"
"Alto Caparaó ";1,97;10,99;13,82;32,81;22,88;14,5;"MG"
"Alto do Rodrigues ";12,21;10,17;13,68;62,95;40,24;18,6;"RN"
"Alto Feliz ";10,99;1,78;13,49;18,6;12,9;8,9;"RS"
"Alto Garças ";11,31;11,48;14,06;25,28;19,02;15,2;"MT"
"Alto Horizonte ";9,2;13,93;8,78;25,58;21,3;12,5;"GO"
"Alto Jequitibá ";3,42;4,34;7,1;36,29;25,8;20;"MG"
